Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42263577;twittersearch;RT @fbonillo: Bovespa tem pior valorização das Américas em 2010. http://bit.ly/hVm7zM;03/01/11 17:02;pt;thyagofurts
42263578;twittersearch;Bovespa tem pior valorização das Américas em 2010. http://bit.ly/hVm7zM;03/01/11 16:56;pt;fbonillo
42263580;twittersearch;@Sobrecarregado Bovespa abre inscrições de curso para PMEs http://bit.ly/eamKZp @SegundoPlanoBR;03/01/11 16:56;pt;SegundoPlanoBR
42263579;twittersearch;Bovespa abre inscrições de curso para PMEs http://bit.ly/eamKZp;03/01/11 16:56;pt;EXAME_noticias
42263581;twittersearch;Carteira da Socopa fica inalterada em janeiro - Veja a lista completa: Copel, Gafisa, Petrobras, OGX e Vale. http://twurl.nl/i5tp2x;03/01/11 16:52;pt;uinstante
42269161;twittersearch;No ócio que cá estou leio sobre Gestão e Crescimento Empresarial de Alto Impacto. Curso oferecido pela BM&FBOVESPA. Interessante!;03/01/11 16:50;all;criszyer
42263583;twittersearch;Bovespa abre inscrições de curso para PMEs: Em parceria com a Babson College, a bolsa quer aproximar os empreend... http://bit.ly/eamKZp;03/01/11 16:49;pt;edilsonflausino
42263582;twittersearch;Bovespa abre inscrições de curso para PMEs http://bit.ly/eamKZp;03/01/11 16:49;pt;EXAME_empreende
42263584;twittersearch;RT @antoniomontiel: Apesar de operar em alta parece que não é hoje que a #Bovespa rompe os 70600 pontos. Bolsa agora está 70219 com 1,32% de alta. #ibov;03/01/11 16:48;pt;JulianaGarcon
42263585;twittersearch;Valor: Dólar cai 0,90% e fecha a R$ 1,651 menor preço desde setembro de 2008 http://bit.ly/dHTH7B #mercado #bovespa;03/01/11 16:48;pt;lopesbravo
42263586;twittersearch;Apesar de operar em alta parece que não é hoje que a #Bovespa rompe os 70600 pontos. Bolsa agora está 70219 com 1,32% de alta. #ibov;03/01/11 16:48;pt;antoniomontiel
42266274;twittersearch;RT @DiogoesuaGrana: O ideal é um tanto q compre 100 ações, p ex. R$1.000! RT @thiago_silva10 @DiogoesuaGrana qual o minino de $$ recomendado pra comprar ações?;03/01/11 16:44;pt;thiago_silva10
42261790;twittersearch;#Bovespa em alta: Valor de empresas brasileiras abertas atinge US$ 1,5 trilhão http://bit.ly/fqlzqh (via @epocanegocios);03/01/11 16:42;pt;futurainvest
42266275;twittersearch;O ideal é um tanto q compre 100 ações, p ex. R$1.000! RT @thiago_silva10 @DiogoesuaGrana qual o minino de $$ recomendado pra comprar ações?;03/01/11 16:39;pt;DiogoesuaGrana
